id,name,address,district,lng,lat,type,facility_type,keyword
B000A8X4JH,大钟寺广场2号楼,北三环西路甲18号院(大钟寺地铁站D口步行120米),海淀区,116.343032,39.966601,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFHY0E1C,丽泽SOHO,丽泽路30号,丰台区,116.330776,39.866976,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A80ZQ2,世茂大厦,建国路甲92号A座8层(大望路地铁站C西南口步行350米),朝阳区,116.471060,39.907662,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000AA4IXH,金隅·大成国际中心,百子湾甲12号(东四环百子湾桥东南角),朝阳区,116.492635,39.899477,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFG96WF1,英皇集团中心,建外大街丁12号(永安里地铁站出入口步行470米),朝阳区,116.444738,39.907772,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFFLFESH,兆泰国际中心,朝外西街3号新金山公寓1层(近距朝阳门站约502米),朝阳区,116.436279,39.919463,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A843YY,时代风帆大厦,马家堡西路15号(角门西地铁站A2西北口步行50米),丰台区,116.370112,39.846694,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A7HSXZ,华普国际大厦,朝阳门外大街19号,朝阳区,116.438787,39.924831,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A81K7R,佳程广场,东三环北路18号,朝阳区,116.458304,39.956475,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFHIW66T,海龙大厦,中关村大街1号(中关村地铁站D西南口步行160米),海淀区,116.315350,39.983453,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A838QG,平安国际金融中心(新源南路),新源南路1号(亮马桥地铁站A西北口步行130米),朝阳区,116.460091,39.949780,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A5A292,财智国际大厦,中关村东路18号,海淀区,116.333838,39.988082,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFFHB521,金隅嘉华大厦,上地三街9号,海淀区,116.307951,40.036804,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A8W8WG,万科时代中心·望京,望京街9号,朝阳区,116.484121,39.989992,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFFZCE6A,金辉大厦,启阳路(望京东地铁站B东北口旁),朝阳区,116.488731,40.002813,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A4C724,甘家口大厦,三里河路17号(甘家口地铁站A西北口步行300米),海淀区,116.333266,39.927493,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFG4FUOQ,科实大厦,信息路甲28号,海淀区,116.311935,40.034764,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFIH6ZE0,国贸大厦A座,建国门外大街1号国贸商城北区西段L1层,朝阳区,116.458466,39.912315,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A8WC7G,世纪大厦A座,王府井大街99号世纪大厦,东城区,116.410398,39.918906,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A7CE2Q,国中商业大厦,东华门灯市口大街33号(灯市口地铁站A西北口步行460米),东城区,116.414427,39.918954,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0HA1RFXES,京印国际中心,开阳路8号,丰台区,116.375727,39.868418,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0GK7Z0GT8,鼎成中心,小营北路15号院1号,朝阳区,116.433133,39.999566,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A835NS,华清商务会馆(华清嘉园),东升五道口(五道口地铁站B南口步行400米),海淀区,116.333755,39.992347,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFFE8I67,光华路SOHO2期,呼家楼街道光华路9号,朝阳区,116.452023,39.913986,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A8WAFF,光华路SOHO,光华路22号,朝阳区,116.452207,39.912947,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B000A80CIE,金源时代商务中心,蓝靛厂东路2号院(长春桥地铁站B口步行490米),海淀区,116.288689,39.960623,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFGE1WXV,e世界财富中心,中关村大街11号(中关村地铁站D口往南步行300米),海淀区,116.315020,39.981610,商务住宅;楼宇;商务写字楼,写字楼,写字楼
B0FFHEKSY6,富华大厦,朝阳门北大街8号(近东四十条桥),东城区,116.435686,39.930902,商务住宅;楼宇;商务写字楼,写字楼,写字楼
